Date,DO,EC,TS,ALKALINITY,TDS,PH,NO3-N,BOD
01-06-2010,1.399999976,390,262,118,249,7.5,1.00999999,4
02-06-2010,4,367,238,148,218,7.300000191,0.100000001,4
03-06-2010,2,352,235,138,216,7.46999979,0.25,3.599999905
04-06-2010,1.200000048,290,240,134,202,7.389999866,0.01,22
05-06-2010,0.400000006,546,348,128,329,7.300000191,0.050000001,9
06-06-2010,0.00001,346,217,128,195,7.5,0.050000001,2.200000048
07-06-2010,6,253,222,80,171,7.800000191,1.899999976,4.400000095
08-06-2010,6.400000095,120,156,70,124,8.100000381,0.649999976,5.400000095
09-06-2010,1.600000024,526,332,208,314,6.699999809,0.920000017,24
10-06-2010,0.00001,436,302,168,268,7.199999809,3.549999952,34
11-06-2010,0.00001,361,259,146,228,7.300000191,11,30
12-06-2010,6.599999905,472,330,198,291,7.400000095,1.004999995,22
13-06-2010,0.00001,496,346,202,307,7.420000076,1.567999959,28
14-06-2010,0.00001,495,354,180,307,7.5,1.730000019,24
15-06-2010,0.00001,554,374,190,338,7.389999866,2.099999905,28
16-06-2010,0.00001,560,366,148,325,8.300000191,2.700000048,32
17-06-2010,0.00001,476,336,148,286,7.300000191,2.900000095,38
18-06-2010,7.4,130,145,80,102,8.69,0.144,1.1
19-06-2010,7,119,108,76,72,8.62,0.172,1.1
20-06-2010,7.6,121,111,28,74,8.85,0.105,1.6
21-06-2010,7,106,107,58.9,77,8.2,0.2,1.3
22-06-2010,7.6,72,89,48,54,8.79,0.122,1.4
23-06-2010,5.6,73,91,48,58,8.44,1.692,1.6
24-06-2010,7,72,90,48,59,8.65,0.239,1.4
25-06-2010,7,74,96,56,64,8.17,0.258,1.3
26-06-2010,6.8,92,98,60,67,8.35,0.273,1.8
27-06-2010,7,172,138,96,105,8.15,0.41,2.9
28-06-2010,7.4,112,106,56,74,8.07,0.37,1.1
29-06-2010,7.4,92,108,52,71,8.55,0.38,1.1
30-06-2010,7.4,112,121,104,95,8.62,0.39,1.4
01-07-2010,7.8,106,100,48,79,7.93,0.42,1.1
02-07-2010,7.4,72,92,40,58,8.15,0.47,1.3
03-07-2010,8,72,70,36,51,8.9,0.583,1.3
04-07-2010,8.2,51,168,36,43,8.06,0.32,1.4
05-07-2010,7.4,52,148,36,45,8.61,0.052,1.8
06-07-2010,7.6,51,70,40,44,8.26,0.013,2.1
07-07-2010,8.4,105,124,36,60,7.95,0.078,1.4
08-07-2010,7.2,63,103,48,55,8.22,0.136,1.2
09-07-2010,7.2,82,113,68,72,8.05,0.44,2.4
10-07-2010,8,127,145,60,83,8.83,0.31,3.1
11-07-2010,8.4,85,135,44,62,8.82,0.14,2.8
12-07-2010,8.6,120,165,64,70,8.17,0.07,2.6
13-07-2010,8.4,115,153,44,82,8.18,0.11,2.4
14-07-2010,8.8,124,133,56,77,8.21,0.134,2.2
15-07-2010,8.8,130,175,68,96,8.25,0.12,2.2
16-07-2010,8.2,142,139,52,79,8.24,0.057,2.4
17-07-2010,8.6,127,129,40,73,8.26,0.053,2
18-07-2010,8.8,122,170,40,69,8.27,0.097,2.2
19-07-2010,7.4,92,140,40,66,7.83,0.1,2
20-07-2010,7,151,186,52,86,8.04,0.241,2.4
21-07-2010,6.8,82,201,44,70,7.95,0.2,2
22-07-2010,8.6,211,221,80,124,8.32,0.32,2.2
23-07-2010,8.4,158,124,40,89,7.58,0.28,1.8
24-07-2010,5.800000191,111,110,52,70,8.159999847,0.28,0.400000006
25-07-2010,4.199999809,289,187,150,172,7.400000095,1.850000024,8
26-07-2010,4.199999809,384,237,134,222,7.480000019,3.299999952,12
27-07-2010,2,289,177,94,160,7.329999924,0.01,13
28-07-2010,0.00001,276,172,112,157,7.380000114,0.037,20
29-07-2010,0.00001,333,220,110,202,7.449999809,0.230000004,25
30-07-2010,2,400,250,152,240,7.400000095,0.400000006,30
31-07-2010,4.099999905,339,200,100,177,7.519999981,0.029999999,35
01-08-2010,3,572,399,222,380,7.699999809,6.239999771,3
02-08-2010,8,156,134,44,87,8.15,0.254,2
03-08-2010,8,151,145,52,85,7.6,0.25,2.4
04-08-2010,8.2,149,187,48,86,7.59,0.22,2.2
05-08-2010,7.8,96,99,32,57,7.96,0.24,2
06-08-2010,8.4,109,117,40,60,7.7,0.06,2.4
07-08-2010,8.2,111,112,40,65,7.63,0.15,2.2
08-08-2010,8.4,107,100,52,61,7.56,0.15,2
09-08-2010,8.6,115,95,40,64,7.61,0.05,2.4
10-08-2010,8.8,111,171,44,62,8.21,0.15,2
11-08-2010,9.2,128,208,48,71,8.22,0.21,2.2
12-08-2010,7.4,146,205,76,81,7.97,0.26,2
13-08-2010,9,133,189,84,113,7.77,0.12,2.2
14-08-2010,9.2,131,149,72,94,8.24,0.27,2
15-08-2010,8.6,148,149,72,85,7.86,0.13,1.8
16-08-2010,9.2,156,143,56,87,8.15,0.2,2.2
17-08-2010,9,112,122,40,74,8.29,0.06,2
18-08-2010,8.6,61,89,36,52,7.01,0.05,1.8
19-08-2010,8.4,110,105,32,62,7.96,0.07,1.4
20-08-2010,8.6,100,90,36,57,8.25,0.05,1.2
21-08-2010,7.8,105,108,32,59,7.49,0.1,1.4
22-08-2010,7.4,125,275,56,77,7.55,0.06,1.8
23-08-2010,7.4,119,148,61,90,7.63,0.06,2
24-08-2010,6.400000095,136,90,72,55,8.079999924,0.06,1
25-08-2010,6.199999809,143,82,72,57,8.300000191,0.08,0.800000012
26-08-2010,6,224,76,120,61,8.300000191,2,1
27-08-2010,5.199999809,112,90,60,72,7.260000229,2.269999981,1.399999976
28-08-2010,5.400000095,173,115,84,98,7.369999886,0.319999993,3.799999952
29-08-2010,6,354,218,130,199,7.570000172,0.300000012,3
30-08-2010,5,508,314,188,292,7.360000134,1.399999976,3.400000095
31-08-2010,2,520,344,194,315,7.599999905,3.029000044,3
01-09-2010,2,640,413,178,381,7.420000076,2.210999966,3.599999905
02-09-2010,3,596,377,130,342,7.400000095,11.31999969,11
03-09-2010,3,586,392,144,360,7.25,2.309999943,17
04-09-2010,1,601,392,188,364,7.75,3.130000114,15
05-09-2010,0.00001,612,389,136,366,7,0.109999999,11
06-09-2010,0.00001,527,318,170,298,7.159999847,0.75,16
07-09-2010,2,384,235,146,13,6.96999979,0.133000001,20
08-09-2010,5.599999905,89,50,44,50,8.039999962,0.180000007,0.800000012
